Di Mattia's Restaurant, 1 N Main St, Allentown, NJ 08501, 609-662-6287
Via Roma II Pizza & Restaurant, 1280 Yardville Allentown Rd #4, Allentown, NJ 08501, 609-795-7812
La Piazza, 11 Church St, Allentown, NJ 08501, 609-722-7417
TJ's Pizza, 709 Main St, Asbury Park, NJ 07712, 732-988-1657
Mr Pizza Fried Chicken, 1500 Springwood Ave, Asbury Park, NJ 07712, 732-401-9520
Mr. Spot Pizza, 100 Memorial Dr, Asbury Park, NJ 07712, 732-481-7336
Pizza Plus Fried Chicken, 900 Main St, Asbury Park, NJ 07712, 732-585-1776
Capitoline, 639 Cookman Ave, Asbury Park, NJ 07712, 732-831-7387
Medusa Stone Fired Kitchen, 711 4th Ave, Asbury Park, NJ 07712, 732-355-3396
Jimmy's Italian Restaurant, 1405 Asbury Ave, Asbury Park, NJ 07712, 732-307-9601
Stella Marina, 800 Ocean Ave Unit 101, Asbury Park, NJ 07712, 732-751-4813
Crust & Crumble Pizzeria, 633 Lake Ave, Asbury Park, NJ 07712, 732-440-3607
Talula's, 550 Cookman Ave, Asbury Park, NJ 07712, 732-655-8235
Pizza Di Roma, 2310 Atlantic Ave, Atlantic City, NJ 08401, 609-666-2047
Joe's Famous Hoagies & Steaks Pizza, 3816 Ventnor Ave, Atlantic City, NJ 08401, 609-910-1062
Jonuzi's Pizza, 500 N Albany Ave, Atlantic City, NJ 08401, 609-418-4716
Torres Primo Pizza & Restaurant, 2416 Atlantic Ave, Atlantic City, NJ 08401, 609-829-8253
Tony Boloney's, 300 Oriental Ave, Atlantic City, NJ 08401, 609-385-4078
Cafe Di Roma, 1903 Atlantic Ave, Atlantic City, NJ 08401, 609-445-3559
Girasole, 3108 Pacific Ave, Atlantic City, NJ 08401, 609-385-4775
Queens Pizza Palace, 3205 Atlantic Ave, Atlantic City, NJ 08401, 609-616-4976
A C Popa Pizza, 1333 Pacific Ave, Atlantic City, NJ 08401, 609-957-5875
Gino's Pizza, 1200 Atlantic Ave #100, Atlantic City, NJ 08401, 609-418-4648
Toscana Pizzeria & Restaurant, 51 E Kings Hwy, Audubon, NJ 08106, 856-310-0940
Angelo's Pizza, 123 W Merchant St, Audubon, NJ 08106, 856-546-3020
Genova's Pizza, 132 Cuthbert Blvd, Audubon, NJ 08106, 856-556-3303
Tu Sei Bella Pizza & Pasta House, 130 Black Horse Pike, Audubon, NJ 08106, 856-281-3553
The Fresh Works of Audubon, 219 South White Horse Pike, Audubon, NJ 08106, 856-617-5496
Antonino's Pizza, 224 W Merchant St, Audubon, NJ 08106, 856-522-4703
Fratelli's Wood Fired Pizzeria - Avalon, 3256 Dune Drive, Avalon, NJ 08202, 609-418-4699
Shorebreak Pizza Grille, 2259 Dune Dr, Avalon, NJ 08202, 609-829-3572
Nemo's Pizza & Family Restaurant, 2542 Dune Dr, Avalon, NJ 08202, 609-418-4595
Tonio's Pizza, 2475 Ocean Dr, Avalon, NJ 08202, 609-445-3394
Via Mare Ristorante, 2319 Ocean Dr, Avalon, NJ 08202, 609-418-4604
Taste of Italy, 1232 St Georges Ave, Avenel, NJ 07001, 732-844-8192
Bellini's Restaurant & Pizzeria, 505 Avenel St, Avenel, NJ 07001, 732-387-6372
Cafe One, 100 US-1, Avenel, NJ 07001, 732-706-8376
Pizza Time Restaurant, 1076 Saint Georges Ave, Avenel, NJ 07001, 732-837-3781
