Valentino's Pizzeria & Restaurant, 71-47 Kissena Blvd, Queens, NY 11367, 718-514-2943
Trattoria Bambino's Pizza, 80-01 Myrtle Ave, Queens, NY 11385, 917-983-6234
Curry On Pizza, 248-49 Jamaica Ave, Queens, NY 11426, 929-209-9938
Leo's Pizza, 31-01 36th Ave, Queens, NY 11106, 718-831-6318
Pizza Boy, 7404 37th Ave, Queens, NY 11372, 347-434-2140
Vaccaro's Pizza, 88-02 Little Neck Pkwy, Queens, NY 11001, 718-313-3364
Chicago's Pizza With A Twist, 259-07 Hillside Ave, Queens, NY 11004, 516-865-6555
Hadiyah, 172-27 Hillside Ave, Queens, NY 11432, 717-276-8461
3L Boulevard Pizzeria, 89-4 Queens Blvd, Queens, NY 11373, 712-264-5398
3L Boulevard Pizzeria, 89-04 Queens Blvd, Queens, NY 11373, 216-208-6613
Sweet Basil Restaurant, 1012 State Route 9, Queensbury, NY 12804, 518-797-1046
Harvest, 4 Cronin Rd, Queensbury, NY 12804, 518-430-5622
Angelina's Pizzeria, 216 Quaker Rd , Queensbury, NY 12804, 518-401-0847
Farmstead Flatbread, 1066 US 9, Queensbury, NY 12804, 518-401-0967
Amore Pizza, 340 Aviation Rd, Queensbury, NY 12804, 518-282-0732
Marino's Pizza, 797 State Route 9, Queensbury, NY 12804, 510-605-3130
Giavano's Pizzeria, 727 Upper Glen St #1, Queensbury, NY 12804, 518-363-7985
J & D Pizza, 98-53 63rd Rd, Rego Park, NY 11374, 718-312-8329
Avellino Restaurant, 97-03 64th Ave, Rego Park, NY 11374, 718-989-1966
Rego Park Famous Pizza & Savage Wings, 99-10 63rd Rd, Rego Park, NY 11374, 347-625-8820
Tomato & Pesto Pizzeria, 92-44 Queens Blvd, Rego Park, NY 11374, 347-752-5883
Victoria G's Pizzeria, 8905 Metropolitan Ave, Rego Park, NY 11374, 718-685-2250
Rego Pizza, 9116 63rd Dr, Rego Park, NY 11374, 917-905-7632
Barosa, 6229 Woodhaven Blvd, Rego Park, NY 11374, 712-227-5079
Paesan's Pizza & Restaurant, 273 Columbia Turnpike, Rensselaer, NY 12144, 518-501-1043
Pizza My Love, 4542, 501 Columbia Turnpike #9, Rensselaer, NY 12144, 518-501-1178
Cugino's Pizzeria, 660 East St, Rensselaer, NY 12144, 518-501-1039
Manor House Pizza, 166 Columbia Turnpike #4, Rensselaer, NY 12144, 518-501-1134
Route Four Pizzeria, 470 N Greenbush Rd, Rensselaer, NY 12144, 518-501-1675
Golden Grain Pizza, 274 Troy Rd, Rensselaer, NY 12144, 518-501-1673
Rudy's V & R Italian Restaurant, 483 Broadway, Rensselaer, NY 12144, 518-501-1977
CJ's, 353 Old Post Rd, Rhinebeck, NY 12572, 845-209-0845
Market St, 19 W Market St, Rhinebeck, NY 12572, 845-251-3606
Village Pizza Of Rhinebeck, 19 E Market St, Rhinebeck, NY 12572, 845-280-3052
Giovanni's, 6795 Route 9, Rhinebeck, NY 12572, 845-243-2610
Two Brothers Pizza 2, 6565 Spring Brook Ave, Rhinebeck, NY 12572, 845-605-7091
Pizzeria Posto, 43 E Market St, Rhinebeck, NY 12572, 845-393-2090
Geo's Pizzeria & Restaurant, 13512 Jamaica Ave, Richmond Hill, NY 11418, 347-960-5957
Jessie's Fine Desserts Pizzeria, 10918 Jamaica Ave, Richmond Hill, NY 11418, 718-571-9887
Alfie's Pizza, 8608 117th St, Richmond Hill, NY 11418, 718-557-9841
Vincent & Andrea Pizzeria, 11317 Jamaica Ave, Richmond Hill, NY 11418, 718-804-5792
Susano's Pizza Restaurant, 679 Seneca Avenue, Ridgewood, NY 11385, 646-736-0226
Corato I Pizza, 66-94 Fresh Pond Rd, Ridgewood, NY 11385, 347-836-6316
Joe & John's Pizzeria, 5910 Myrtle Ave, Ridgewood, NY 11385, 717-537-0228
Grace Pizza, 7005 Myrtle Ave, Ridgewood, NY 11385, 516-209-2508
Ace Pizza & Restaurant, 6104 Myrtle Ave, Ridgewood, NY 11385, 718-418-0038
The Ridgewood Ale House, 57-38 Myrtle Ave, Ridgewood, NY 11385, 717-619-8641
La Bella Pizza & Chicken, 975 Seneca Ave, Ridgewood, NY 11385, 201-630-0798
The Original Martiniello's Pizzeria & Restaurant, 62-98 Forrest Ave, Ridgewood, NY 11385, 917-909-0146
Corato Pizza II, 6091 Myrtle Ave, Ridgewood, NY 11385, 718-395-5296
Julie's, 675 Onderdonk Ave, Ridgewood, NY 11385, 347-223-5209
Rocco's Pizza & Pasta, 1285 Old Country Rd, Riverhead, NY 11901, 631-816-2297
Sergio's, 739 Old Country Rd, Riverhead, NY 11901, 631-284-8528
Cucina 25, 12 W Main St, Riverhead, NY 11901, 631-284-4599
The Roadhouse, 1111 W Main St, Riverhead, NY 11901, 631-284-4499
Grana, 1556 W Main St, Riverhead, NY 11901, 631-405-4110
Paradise Pizza, 777 Spencerport Rd, Rochester, NY 14606, 585-482-9444
2 Ton Tony's Pizza, 545 Titus Ave, Rochester, NY 14617, 585-299-5618
Pontillo's Pizzeria, 4468 Lake Ave, Rochester, NY 14612, 585-366-8075
Joe's Brooklyn Pizza, 1918 Monroe Ave, Rochester, NY 14618, 585-670-6644
Pie Time, 303 Denise Rd, Rochester, NY 14612, 585-454-8898
All Star Pizza, 1628 Penfield Rd, Rochester, NY 14625, 585-484-7470
Pontillo's Pizzeria - Hudson Ridge, 702 E Ridge Rd, Rochester, NY 14621, 585-467-6900
Joe's Brooklyn Pizza, 1100 Jefferson Rd, Rochester, NY 14623, 585-270-6319
Hoagies Deli Pizza, 1615 Scottsville Rd, Rochester, NY 14623, 585-286-5193
Jack'ss BBQ & Pizza, 3055 Buffalo Rd, Rochester, NY 14624, 585-286-2676
Salvatore's Old Fashioned Pizzeria, 2055 East Ridge Road, Rochester, NY 14622, 585-366-8811
Guida's Pizzeria, 404 Empire Blvd, Rochester, NY 14609, 585-366-8733
Mojo's Pizza Plus, 766 Hudson Ave, Rochester, NY 14621, 585-366-8650
Salvatore's Old Fashioned Pizzeria, 1735 Scottsville Rd, Rochester, NY 14623, 585-312-3961
Salvatore's Old Fashioned Pizzeria, 433 Mt Read Blvd, Rochester, NY 14611, 585-366-8607
Pizza Stop, 2532 Ridgeway Ave, Rochester, NY 14626, 585-366-8697
Pizza D'amore, 208 Beach 116th St, Rockaway Park, NY 11694, 347-647-2503
Plum Tomatoes, 420 Beach 129th St, Rockaway Park, NY 11694, 717-502-9530
Ciro's Pizza, 171 Beach 116th St, Rockaway Park, NY 11694, 718-831-6308
Bonbino's Pizza, 605 Merrick Rd, Rockville Centre, NY 11570, 516-362-2241
Blue Moon, 26 N Park Ave, Rockville Centre, NY 11570, 516-219-9958
ZA Late Night Pizza, 2 N Park Ave, Rockville Centre, NY 11570, 516-226-2465
