Pavona's Pizza Joint, 32 Sand Run Rd, Akron, OH 44313, 330-515-7080
Emidio & Sons Italian Restaurant, 636 N Main St, Akron, OH 44310, 334-721-6357
Talamo's Pizza, 1195 Kenmore Blvd, Akron, OH 44314, 330-576-8589
D'Agnese's At White Pond, 566 White Pond Dr, Akron, OH 44320, 234-231-6176
Bricco, 1 W Exchange St, Akron, OH 44308, 330-576-8316
Luigi’s Restaurant, 105 N Main St, Akron, OH 44308, 330-590-5320
Guiseppe's Pizza, 14 E Caston Rd, Akron, OH 44319, 330-594-1508
Lembo's Italian Restaurant, 1186 Canton Rd, Akron, OH 44312, 330-249-7806
Three Guys Pizza Pies, 1163 E Tallmadge Ave, Akron, OH 44310, 234-231-6310
Pierre's Brooklyn Pizza & Deli, 964 Kenmore Blvd, Akron, OH 44314, 330-325-4679
DeCheco's Pizzeria, 2075 2819 S Main St, Akron, OH 44301, 330-576-8695
D'Angelo's Italian Place, 3288 S Main St, Akron, OH 44319, 330-594-8146
Italian Garden, 1730 Goodyear Blvd, Akron, OH 44305, 330-278-8919
Regina's Pizza, 2160 East Ave, Akron, OH 44314, 330-752-2697
Rasicci's Pizza, 513 E Cuyahoga Falls Ave, Akron, OH 44310, 330-348-5992
Galluch's Pizza, 5949 Manchester Rd, Akron, OH 44319, 330-281-4623
Angelina's Pizza House, 1548 Home Ave, Akron, OH 44310, 330-470-4357
Vaccaro's Trattoria, 1000 Ghent Rd, Akron, OH 44333, 330-294-9781
Rocco's Pizza, 2008 East Ave, Akron, OH 44314, 330-278-8799
Mama Rosa's, 1115 Brown St, Akron, OH 44301, 330-278-8828
Michael Trecaso's Restaurant, 780 W Market St, Akron, OH 44303, 330-515-7063
Kip's Pizza & Chicken, 1309 Brown St, Akron, OH 44301, 330-590-4062
Rendino's Pizza, 5197 Manchester Rd, Akron, OH 44319, 330-422-6863
Chip's Pizza & Chicken, 2060 S Arlington Rd, Akron, OH 44306, 330-281-4975
New York Style Pizza & Deli, 700 E Cuyahoga Falls Ave, Akron, OH 44310, 330-281-4617
Fiesta Pizza & Chicken, 2792 Albrecht Ave, Akron, OH 44312, 330-422-4532
Teresa’s Pizza, 620 Ridgewood Rd, Akron, OH 44333, 330-590-5095
Ken Stewart's Tre Belle, 1911 N Cleveland Massillon Rd, Akron, OH 44333, 330-400-2103
Parasson's Italian Restaurant, 959 E Waterloo Rd, Akron, OH 44306, 330-915-3513
Davinci's Pizza, 374 S Main St, Akron, OH 44311, 330-281-4539
Fiesta Pizza & Chicken, 1860 Newton St, Akron, OH 44305, 330-576-5427
Premium New York Style Pizza, 380 E Glenwood Ave, Akron, OH 44310, 330-294-1488
Olde Town Pizza House, 195 Cleveland Ave, Amherst, OH 44001, 440-467-3527
Sal & Al's Diner, 2261 Cooper Foster Park Rd, Amherst, OH 44001, 440-467-4031
D'Tutanelli's Pizza, 103 Milan Ave, Amherst, OH 44001, 440-420-4388
Jillianos, 2275 Cooper Foster Park Rd, Amherst, OH 44001, 440-467-3579
DorLo Pizza, 1211 Orange Rd, Ashland, OH 44805, 419-962-3076
Donna D's Family Pizza, 1311 Cleveland Ave, Ashland, OH 44805, 419-962-3235
K D's Allegro Pizza, 508 College Ave, Ashland, OH 44805, 419-869-3299
Georgio's Oven Fresh Pizza Co, 1922 W Prospect Rd, Ashtabula, OH 44004, 440-210-9476
Purola's BSP, 1035 Bridge St, Ashtabula, OH 44004, 440-261-5157
Capo's Pizza III, 1205 Lake Ave, Ashtabula, OH 44004, 440-218-8216
Main Street Pizza, 4119 Main Ave, Ashtabula, OH 44004, 440-294-4812
JD's Pizza, 2238 E Prospect Rd, Ashtabula, OH 44004, 440-294-4841
Salvato's Pizza, 1632 E Prospect Rd, Ashtabula, OH 44004, 440-294-4983
Luigi's Pizzeria, 5345 Main Ave, Ashtabula, OH 44004, 440-298-7044
Alessandro's, 6540 Lake Rd W, Ashtabula, OH 44004, 440-298-7075
Doctor Pizza, 122 W Union St, Athens, OH 45701, 740-293-0220
Lotsa Stone Fired Pizza, 14 S Court St, Athens, OH 45701, 740-300-4233
Franco's Pizza Place, 42 S Court St, Athens, OH 45701, 740-303-6208
Avalanche Pizza, 329 E State St, Athens, OH 45701, 740-410-0388
Plus 1 Pizza, 600 E State St, Athens, OH 45701, 740-570-1115
Courtside Pizza, 85 N Court St, Athens, OH 45701, 740-279-1781
Lui Lui Restaurant, 8 Station St, Athens, OH 45701, 740-279-1788
Neechi's Pizza, 37190 Colorado Ave, Avon, OH 44011, 440-427-3973
Cafe Piccolo, 35568 Detroit Rd, Avon, OH 44011, 440-467-3617
Wood & Wine, 38790 Chester Rd, Avon, OH 44011, 440-467-3514
In Forno Pizza, 35840 Chester Rd, Avon, OH 44011, 216-930-3002
D'Tutanelli's Pizza, 36962 Detroit Rd, Avon, OH 44011, 440-427-3751
Angie's Italian Restaurant, 4th St NW, Barberton, OH 44203, 330-754-2442
The Original Peppe & Luigi's, 240 5th St SE, Barberton, OH 44203, 330-325-4163
Papa Roni's Pizza & Ice Cream, 68 W State St, Barberton, OH 44203, 330-249-7729
